,zfygpa,zgpa,DOB_yr,isPartTime,sex,race,cluster_tier,family_income,lsat,ugpa,pass_bar,weighted_lsat_ugpa
0,-1.79,0.0,68.0,No,Female,White,2.0,4.0,30.0,3.1,Failed_or_not_attempted,625.78946
1,1.33,1.88,69.0,No,Female,White,4.0,5.0,44.0,3.5,Passed,886.842082
2,-0.11,-0.57,69.0,No,Female,White,2.0,4.0,29.0,3.5,Passed,649.9999869999999
3,1.22,0.95,58.0,Yes,Female,White,3.0,5.0,35.0,3.0,Failed_or_not_attempted,694.736825
4,0.88,0.0,51.0,Yes,Female,White,2.0,4.0,39.0,2.9,Failed_or_not_attempted,747.8947169999999
5,0.63,0.37,68.0,No,Male,White,4.0,3.0,37.0,3.4,Passed,766.3157709999999
6,0.67,0.34,67.0,No,Female,White,4.0,4.0,43.0,3.3,Passed,851.052609
7,1.23,0.92,65.0,No,Male,White,2.0,4.0,37.0,2.6,Failed_or_not_attempted,686.315771
8,-0.67,-1.3,64.0,No,Female,White,5.0,4.0,41.0,3.3,Passed,819.473663
10,-1.73,-1.34,66.0,No,Male,White,3.0,4.0,24.5,2.2,Passed,448.9473585
11,-0.32,-0.38,68.0,No,Female,White,3.0,4.0,34.0,3.3,Passed,708.9473519999999
12,-0.92,-0.72,64.0,No,Male,White,2.0,4.0,35.0,3.2,Failed_or_not_attempted,714.736825
13,-0.05,-0.03,56.0,No,Female,White,4.0,3.0,40.0,2.4,Passed,713.68419
14,-1.1,0.0,68.0,No,Female,White,2.0,4.0,31.0,2.9,Failed_or_not_attempted,621.578933
15,0.0,0.0,69.0,No,Male,Black,6.0,3.0,37.0,3.6,Passed,786.315771
16,0.73,0.94,62.0,No,Female,White,4.0,3.0,35.0,2.9,Passed,684.736825
17,-1.82,0.0,54.0,No,Male,Black,4.0,2.0,17.0,3.1,Failed_or_not_attempted,420.526311
18,0.0,0.0,67.0,No,Female,White,6.0,4.0,33.0,3.3,Passed,693.157879
19,0.0,0.0,69.0,No,Male,White,4.0,4.0,35.0,3.3,Failed_or_not_attempted,724.736825
20,-0.59,-1.49,53.0,No,Female,White,3.0,3.0,28.0,2.4,Passed,524.210514
21,-3.22,0.0,60.0,No,Male,Black,1.0,3.0,26.0,2.5,Failed_or_not_attempted,502.631568
22,-0.76,-0.56,69.0,No,Female,White,5.0,4.0,32.5,3.2,Passed,675.2631425
23,1.04,1.09,66.0,No,Male,White,1.0,3.0,32.5,2.4,Passed,595.2631425
24,0.56,0.87,64.0,No,Female,Black,1.0,3.0,23.0,2.8,Passed,485.263149
25,-0.23,-0.72,69.0,No,Female,White,3.0,3.0,37.0,2.8,Passed,706.3157709999999
26,1.08,0.88,64.0,No,Female,White,6.0,3.0,41.0,3.9,Passed,879.473663
27,-0.69,-0.45,65.0,No,Female,Black,6.0,4.0,40.0,2.8,Passed,753.68419
28,0.58,0.53,68.0,No,Female,White,3.0,4.0,30.0,3.3,Passed,645.78946
29,0.67,0.4,70.0,No,Male,White,4.0,4.0,40.0,3.7,Passed,843.6841900000001
30,-1.8,-1.13,68.0,No,Male,White,3.0,4.0,22.0,2.7,Passed,459.473676
31,1.94,0.98,69.0,No,Female,White,5.0,4.0,48.0,3.7,Passed,969.999974
32,-0.53,-1.05,68.0,No,Female,White,3.0,4.0,36.0,2.9,Passed,700.526298
33,-0.67,-0.9,68.0,No,Female,Other,4.0,3.0,36.0,3.1,Passed,720.526298
34,-2.84,0.0,63.0,No,Male,Black,3.0,2.0,20.0,2.1,Failed_or_not_attempted,367.89473
35,-0.64,-1.12,65.0,No,Male,White,3.0,1.0,36.0,3.5,Passed,760.526298
36,0.64,-0.1,68.0,No,Male,White,4.0,3.0,45.0,3.0,Passed,852.6315549999999
37,2.4,3.22,62.0,No,Male,White,1.0,3.0,35.0,2.6,Passed,654.736825
39,-0.15,0.0,52.0,No,Male,White,3.0,4.0,39.0,3.3,Failed_or_not_attempted,787.8947169999999
40,0.0,0.0,68.0,No,Female,Other,6.0,4.0,47.0,4.0,Passed,984.210501
41,-0.6,-1.63,67.0,No,Male,White,5.0,2.0,36.0,3.4,Passed,750.526298
42,0.0,0.0,69.0,No,Female,Other,6.0,4.0,48.0,3.7,Passed,969.999974
43,1.27,0.87,69.0,No,Female,White,4.0,4.0,46.0,3.8,Passed,948.421028
44,1.02,0.73,59.0,Yes,Male,White,5.0,3.0,39.0,3.1,Passed,767.894717
45,-0.38,-1.1,66.0,No,Female,Black,4.0,2.0,37.0,3.0,Failed_or_not_attempted,726.315771
46,1.5,0.0,68.0,No,Male,White,6.0,4.0,42.0,3.8,Failed_or_not_attempted,885.2631359999999
47,-0.39,-0.07,69.0,No,Female,White,3.0,3.0,39.0,2.7,Passed,727.894717
48,2.88,2.87,66.0,No,Female,White,5.0,3.0,39.0,4.0,Passed,857.8947169999999
49,0.14,0.53,68.0,No,Female,White,3.0,3.0,38.0,3.0,Passed,742.105244
50,1.68,1.33,59.0,No,Male,White,4.0,3.0,32.0,4.0,Passed,747.368406
51,0.34,-0.49,58.0,No,Male,White,3.0,4.0,39.0,3.5,Passed,807.8947169999999
52,0.0,0.0,67.0,No,Male,White,6.0,2.0,41.0,3.1,Passed,799.473663
53,-1.08,-1.46,64.0,No,Male,Black,5.0,3.0,29.0,2.5,Passed,549.9999869999999
54,1.02,0.76,68.0,No,Male,White,5.0,4.0,48.0,3.5,Passed,949.999974
55,-1.4,-1.08,68.0,No,Female,Other,3.0,3.0,27.0,2.5,Passed,518.4210410000001
57,-1.04,-1.49,69.0,No,Male,Other,4.0,4.0,31.0,2.6,Passed,591.578933
58,1.51,1.69,68.0,No,Female,White,4.0,3.0,45.0,3.7,Passed,922.6315549999999
